City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,port elizabeth,-33.918,25.5701,20.17,91,100,2.68,ZA,1708668667
146,harper,4.375,-7.7169,26.86,87,87,4.89,LR,1708668668
147,saudarkrokur,65.7461,-19.6394,-1.63,96,55,0.75,IS,1708668669
148,omdurman,15.6445,32.4777,25.51,56,98,7.32,SD,1708668669
149,alofi,-19.0595,-169.9187,26.43,85,100,2.7,NU,1708668670
150,anadyr,64.75,177.4833,-15.72,65,40,11.0,RU,1708668670
151,kerikeri,-35.2268,173.9474,23.28,77,79,0.89,NZ,1708668643
152,akobo,7.4344,3.9497,25.28,81,98,1.11,NG,1708668671
153,illizi,26.4833,8.4667,10.25,35,0,2.86,DZ,1708668672
154,horta,38.5333,-28.6333,12.23,80,99,2.68,PT,1708668672
155,santana,-0.0583,-51.1817,26.1,83,0,2.06,BR,1708668673
156,usogorsk,63.4106,48.6872,-6.85,94,100,4.33,RU,1708668674
157,kruisfontein,-34.0033,24.7314,17.16,70,85,2.46,ZA,1708668674
158,coahuayana de hidalgo,18.7,-103.6583,21.65,82,0,0.74,MX,1708668674
159,fort bragg,35.139,-79.006,14.0,47,100,3.6,US,1708668675
160,ta`u,-14.2336,-169.5144,28.87,75,96,3.18,AS,1708668675
161,kapoeta,4.7717,33.5903,31.86,28,100,11.85,SS,1708668676
162,torghay,49.6339,63.4981,-18.39,91,8,3.06,KZ,1708668676
163,whitehorse,60.7161,-135.0538,-0.94,36,39,4.47,CA,1708668677
164,suva,-18.1416,178.4415,25.71,94,75,1.54,FJ,1708668677
165,ain sukhna,29.6002,32.3167,15.13,62,100,2.6,EG,1708668678
166,sola,-13.8833,167.55,32.37,66,40,0.0,VU,1708668678
167,leninskoye,41.7589,69.3864,0.81,96,100,1.22,KZ,1708668679
168,bubaque,11.2833,-15.8333,26.93,49,78,5.73,GW,1708668680
169,portland,45.5234,-122.6762,9.34,86,20,1.79,US,1708668420
170,aguas formosas,-17.0822,-40.9358,22.59,97,97,0.69,BR,1708668681
171,karachi,24.9056,67.0822,24.9,27,0,0.0,PK,1708668619
172,kavieng,-2.5744,150.7967,29.62,67,85,2.23,PG,1708668682
173,nar'yan-mar,67.6713,53.087,-4.94,91,100,7.15,RU,1708668683
174,kauhava,63.103,23.0713,1.85,89,100,5.45,FI,1708668683
175,atafu village,-8.5421,-172.5159,29.5,72,84,5.28,TK,1708668684
176,enewetak,11.3474,162.3373,26.47,82,73,10.54,MH,1708668684
177,bamboo flat,11.7,92.7167,29.25,58,10,4.27,IN,1708668685
178,avarua,-21.2078,-159.775,27.03,94,99,5.66,CK,1708668686
179,morondava,-20.2833,44.2833,28.26,72,80,1.73,MG,1708668686
180,mbanza kongo,-6.267,14.2401,21.83,94,95,0.23,AO,1708668686
181,rio grande,-32.035,-52.0986,21.64,92,28,2.74,BR,1708668687
182,moundou,8.5667,16.0833,24.81,34,40,5.36,TD,1708668688
183,maksatikha,57.797,35.8825,-0.16,96,99,4.36,RU,1708668689
184,mahina,-17.5065,-149.489,28.87,74,40,3.09,PF,1708668619
185,katsuren-haebaru,26.3369,127.8719,22.43,79,100,5.14,JP,1708668690
186,siocon,7.7061,122.1353,29.01,76,100,2.58,PH,1708668691
187,anchorage,61.2181,-149.9003,0.96,68,75,7.2,US,1708668514
188,baturaden,-7.3,109.2167,25.68,66,100,0.82,ID,1708668691
189,thinadhoo,0.5333,72.9333,27.81,75,57,1.38,MV,1708668692
190,luena,-11.7833,19.9167,21.07,78,100,1.2,AO,1708668692
191,valabhipur,21.8833,71.8667,25.97,11,0,5.72,IN,1708668484
192,zhosaly,45.4878,64.0781,-6.66,65,11,3.68,KZ,1708668693
193,kenora,49.8167,-94.4337,-10.68,66,99,5.81,CA,1708668694
194,vadso,70.0744,29.7487,1.09,80,75,5.14,NO,1708668694
195,querqueville,49.6625,-1.6912,6.82,87,75,7.2,FR,1708668695
196,caleta de carquin,-11.0925,-77.6267,23.8,85,90,2.5,PE,1708668695
197,crane,31.3974,-102.3501,14.09,32,9,5.09,US,1708668696
198,iskateley,67.6803,53.1512,-4.99,91,100,7.15,RU,1708668696
199,beitbridge,-22.2167,30.0,26.49,51,0,5.6,ZW,1708668697
200,acapulco de juarez,16.8634,-99.8901,24.1,73,0,2.23,MX,1708668503
201,visakhapatnam,17.69,83.2093,29.72,55,55,4.95,IN,1708668556
202,shiyan,32.6475,110.7781,0.16,65,100,2.92,CN,1708668698
203,tiksi,71.6872,128.8694,-25.68,97,96,3.59,RU,1708668699
204,kodinsk,58.6881,99.1844,-16.1,86,100,3.57,RU,1708668699
205,qaqortoq,60.7167,-46.0333,-19.49,81,15,3.24,GL,1708668700
206,arica,-18.475,-70.3042,24.75,78,6,0.35,CL,1708668700
207,torquay,50.4638,-3.5143,5.52,91,47,8.6,GB,1708668701
208,kasongo-lunda,-6.4667,16.8167,22.68,96,100,0.3,CD,1708668701
209,kralendijk,12.15,-68.2667,26.12,74,13,3.56,BQ,1708668702
210,phan rang-thap cham,11.5667,108.9833,31.88,51,6,6.82,VN,1708668703
211,yokote,39.3,140.5667,0.69,71,100,4.88,JP,1708668703
212,minot air force base,48.4209,-101.3391,1.1,75,0,6.17,US,1708668704
213,magdalena,14.1999,121.429,29.08,54,60,5.1,PH,1708668704
214,monte carmelo,-18.7247,-47.4986,19.21,97,95,2.28,BR,1708668654
215,chhor,25.5167,69.7667,24.98,8,0,0.72,PK,1708668705
216,yanam,16.7333,82.2167,32.64,45,75,2.94,IN,1708668706
217,al hasakah,36.5024,40.7477,13.1,63,92,4.25,SY,1708668706
218,ghadamis,30.1337,9.5007,10.2,68,0,3.55,LY,1708668706
219,san rafael,-34.6177,-68.3301,18.82,46,76,1.95,AR,1708668463
220,yorkton,51.2167,-102.4677,-10.81,95,100,3.01,CA,1708668707
221,bras-panon,-20.9967,55.6782,28.81,75,99,1.22,RE,1708668708
222,pathardi,19.1667,75.1833,25.85,26,16,3.58,IN,1708668709
223,puerto ayora,-0.7393,-90.3518,25.86,99,37,2.1,EC,1708668709
224,papatowai,-46.5619,169.4708,19.53,56,96,4.1,NZ,1708668709
225,sitka,57.0531,-135.33,5.94,81,100,5.14,US,1708668710
226,mar del plata,-38.0023,-57.5575,20.05,88,100,2.68,AR,1708668710
227,borogontsy,62.6683,131.1683,-26.54,89,79,0.3,RU,1708668711
228,puerto leguizamo,-0.1934,-74.7819,25.37,69,70,0.94,CO,1708668711
229,carnarvon,-24.8667,113.6333,27.8,68,81,5.42,AU,1708668712
230,minas de marcona,-15.2119,-75.1103,19.47,89,99,2.73,PE,1708668712
231,kloulklubed,7.0419,134.2556,30.28,77,90,4.93,PW,1708668713
232,wainwright,52.839,-110.8572,-3.25,85,19,3.38,CA,1708668713
233,coari,-4.085,-63.1414,24.04,75,9,1.14,BR,1708668426
234,weno,7.4515,151.8468,28.97,94,100,3.6,FM,1708668714
235,la tuque,47.4334,-72.7824,-0.77,98,100,2.25,CA,1708668715
236,taraz,42.9,71.3667,-4.77,86,100,3.0,KZ,1708668715
237,kapit,2.0167,112.9333,34.5,48,62,0.97,MY,1708668715
238,xichang,27.8964,102.2634,13.72,67,98,0.82,CN,1708668716
